날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 02월 09일,57.27,52.99,57.55,52.95,176.97M,7.03%
2020년 02월 02일,53.51,47.55,54.41,47.47,189.06M,14.29%
2020년 01월 26일,46.82,46.12,49.88,45.09,232.42M,-5.24%
2020년 01월 19일,49.41,49.52,51.6,48.76,164.50M,-1.08%
2020년 01월 12일,49.95,47.37,50.07,47.16,165.63M,6.78%
2020년 01월 05일,46.78,43.13,47.73,42.98,172.06M,5.86%
2019년 12월 29일,44.19,43.87,45.42,42.4,118.58M,0.64%
2019년 12월 22일,43.91,43.01,44.53,42.62,69.27M,3.17%
2019년 12월 15일,42.56,40.71,42.76,40.68,109.88M,6.59%
2019년 12월 08일,39.93,38.55,40.36,37.84,156.78M,3.26%
2019년 12월 01일,38.67,38.87,38.9,35.55,145.20M,-0.51%
2019년 11월 24일,38.87,37.56,39.41,37.55,75.32M,4.77%
2019년 11월 17일,37.1,37.55,38.23,36.41,133.74M,-1.33%
2019년 11월 10일,37.6,36.28,37.67,36.12,129.09M,2.09%
2019년 11월 03일,36.83,36.3,37.1,35.52,131.46M,3.48%
2019년 10월 27일,35.59,34.43,35.59,33.73,143.99M,4.95%
2019년 10월 20일,33.91,32.51,33.99,31.7,143.45M,5.97%
2019년 10월 13일,32,31.62,33.43,31.5,157.51M,0.88%
2019년 10월 06일,31.72,30.43,32.5,29,240.12M,3.29%
2019년 09월 29일,30.71,30.3,31.68,27.45,240.72M,2.30%
2019년 09월 22일,30.02,31.64,32.37,29.33,194.29M,-5.33%
2019년 09월 15일,31.71,32,33.35,31.37,147.23M,-2.85%
2019년 09월 08일,32.64,32.48,33.74,30.84,152.01M,1.37%
2019년 09월 01일,32.2,29.64,32.55,29.06,118.06M,6.45%
2019년 08월 25일,30.25,28.75,30.97,28.13,177.10M,8.46%
2019년 08월 18일,27.89,30.73,31.4,27.54,201.01M,-5.39%
2019년 08월 11일,29.48,29.64,31.7,27.54,283.61M,-2.32%
2019년 08월 04일,30.18,28.97,31.11,26.84,316.09M,-2.20%
2019년 07월 28일,30.86,34.98,34.98,30.3,241.61M,-11.90%
